subject,activity,feat_domain,feat_acceleration,feat_instru,feat_jerk,feat_magnitude,feat_var,feat_axis,count,average
1,LAYING,Freq,Body,Accelerometer,Jerk,NA,Mean,X,50,-0.957073884
1,LAYING,Freq,Body,Accelerometer,Jerk,NA,Mean,Y,50,-0.92246261
1,LAYING,Freq,Body,Accelerometer,Jerk,NA,Mean,Z,50,-0.948060904
1,LAYING,Freq,Body,Accelerometer,Jerk,NA,StD,X,50,-0.964160709
1,LAYING,Freq,Body,Accelerometer,Jerk,NA,StD,Y,50,-0.93221787
1,LAYING,Freq,Body,Accelerometer,Jerk,NA,StD,Z,50,-0.960586987
1,LAYING,Freq,Body,Accelerometer,Jerk,Magnitude,Mean,NA,50,-0.933300361
1,LAYING,Freq,Body,Accelerometer,Jerk,Magnitude,StD,NA,50,-0.921803976
1,SITTING,Time,NA,Gyroscope,NA,NA,Mean,X,47,-0.045350057
1,SITTING,Time,NA,Gyroscope,NA,NA,Mean,Y,47,-0.091924155
1,SITTING,Time,NA,Gyroscope,NA,NA,Mean,Z,47,0.062931381
1,SITTING,Time,NA,Gyroscope,NA,NA,StD,X,47,-0.977211283
1,SITTING,Time,NA,Gyroscope,NA,NA,StD,Y,47,-0.966473895
1,SITTING,Time,NA,Gyroscope,NA,NA,StD,Z,47,-0.941425921
1,SITTING,Time,NA,Gyroscope,NA,Magnitude,Mean,NA,47,-0.93089249
1,SITTING,Time,NA,Gyroscope,NA,Magnitude,StD,NA,47,-0.93453184
1,SITTING,Time,NA,Gyroscope,Jerk,NA,Mean,X,47,-0.093679381
1,SITTING,Time,NA,Gyroscope,Jerk,NA,Mean,Y,47,-0.040211812
1,SITTING,Time,NA,Gyroscope,Jerk,NA,Mean,Z,47,-0.046702627
1,SITTING,Time,NA,Gyroscope,Jerk,NA,StD,X,47,-0.991731592
1,SITTING,Time,NA,Gyroscope,Jerk,NA,StD,Y,47,-0.989518069
1,SITTING,Time,NA,Gyroscope,Jerk,NA,StD,Z,47,-0.987935806
1,SITTING,Time,NA,Gyroscope,Jerk,Magnitude,Mean,NA,47,-0.991976341
1,SITTING,Time,NA,Gyroscope,Jerk,Magnitude,StD,NA,47,-0.988308729
1,SITTING,Time,Body,Accelerometer,NA,NA,Mean,X,47,0.261237565
1,SITTING,Time,Body,Accelerometer,NA,NA,Mean,Y,47,-0.001308288
1,SITTING,Time,Body,Accelerometer,NA,NA,Mean,Z,47,-0.104544182
1,SITTING,Time,Body,Accelerometer,NA,NA,StD,X,47,-0.977229008
1,SITTING,Time,Body,Accelerometer,NA,NA,StD,Y,47,-0.922618642
1,SITTING,Time,Body,Accelerometer,NA,NA,StD,Z,47,-0.939586291
1,SITTING,Time,Body,Accelerometer,NA,Magnitude,Mean,NA,47,-0.948536786
1,SITTING,Time,Body,Accelerometer,NA,Magnitude,StD,NA,47,-0.927078419
1,SITTING,Time,Body,Accelerometer,Jerk,NA,Mean,X,47,0.07748252
1,SITTING,Time,Body,Accelerometer,Jerk,NA,Mean,Y,47,-0.000619103
1,SITTING,Time,Body,Accelerometer,Jerk,NA,Mean,Z,47,-0.003367792
1,SITTING,Time,Body,Accelerometer,Jerk,NA,StD,X,47,-0.986430711
1,SITTING,Time,Body,Accelerometer,Jerk,NA,StD,Y,47,-0.981371965
1,SITTING,Time,Body,Accelerometer,Jerk,NA,StD,Z,47,-0.987910804
1,SITTING,Time,Body,Accelerometer,Jerk,Magnitude,Mean,NA,47,-0.987364196
1,SITTING,Time,Body,Accelerometer,Jerk,Magnitude,StD,NA,47,-0.984120024
1,SITTING,Time,Gravity,Accelerometer,NA,NA,Mean,X,47,0.831509933
1,SITTING,Time,Gravity,Accelerometer,NA,NA,Mean,Y,47,0.204411593
1,SITTING,Time,Gravity,Accelerometer,NA,NA,Mean,Z,47,0.332043703
1,SITTING,Time,Gravity,Accelerometer,NA,NA,StD,X,47,-0.968457146
1,SITTING,Time,Gravity,Accelerometer,NA,NA,StD,Y,47,-0.935517056
1,SITTING,Time,Gravity,Accelerometer,NA,NA,StD,Z,47,-0.949040933
1,SITTING,Time,Gravity,Accelerometer,NA,Magnitude,Mean,NA,47,-0.948536786
1,SITTING,Time,Gravity,Accelerometer,NA,Magnitude,StD,NA,47,-0.927078419
1,SITTING,Freq,NA,Gyroscope,NA,NA,Mean,X,47,-0.976161464
1,SITTING,Freq,NA,Gyroscope,NA,NA,Mean,Y,47,-0.975838585
1,SITTING,Freq,NA,Gyroscope,NA,NA,Mean,Z,47,-0.951315544
1,SITTING,Freq,NA,Gyroscope,NA,NA,StD,X,47,-0.977904227
1,SITTING,Freq,NA,Gyroscope,NA,NA,StD,Y,47,-0.962345043
1,SITTING,Freq,NA,Gyroscope,NA,NA,StD,Z,47,-0.943917841
1,SITTING,Freq,NA,Gyroscope,NA,Magnitude,Mean,NA,47,-0.958435589
1,SITTING,Freq,NA,Gyroscope,NA,Magnitude,StD,NA,47,-0.932198375
1,SITTING,Freq,NA,Gyroscope,Jerk,Magnitude,Mean,NA,47,-0.989797547
1,SITTING,Freq,NA,Gyroscope,Jerk,Magnitude,StD,NA,47,-0.987049617
1,SITTING,Freq,Body,Accelerometer,NA,NA,Mean,X,47,-0.979641239
1,SITTING,Freq,Body,Accelerometer,NA,NA,Mean,Y,47,-0.94408455
1,SITTING,Freq,Body,Accelerometer,NA,NA,Mean,Z,47,-0.959184889
1,SITTING,Freq,Body,Accelerometer,NA,NA,StD,X,47,-0.976412313
1,SITTING,Freq,Body,Accelerometer,NA,NA,StD,Y,47,-0.917275006
1,SITTING,Freq,Body,Accelerometer,NA,NA,StD,Z,47,-0.934469558
1,SITTING,Freq,Body,Accelerometer,NA,Magnitude,Mean,NA,47,-0.947782923
1,SITTING,Freq,Body,Accelerometer,NA,Magnitude,StD,NA,47,-0.928444802
1,SITTING,Freq,Body,Accelerometer,Jerk,NA,Mean,X,47,-0.986597023
1,SITTING,Freq,Body,Accelerometer,Jerk,NA,Mean,Y,47,-0.981579467
1,SITTING,Freq,Body,Accelerometer,Jerk,NA,Mean,Z,47,-0.986053092
1,SITTING,Freq,Body,Accelerometer,Jerk,NA,StD,X,47,-0.987492994
1,SITTING,Freq,Body,Accelerometer,Jerk,NA,StD,Y,47,-0.98251391
1,SITTING,Freq,Body,Accelerometer,Jerk,NA,StD,Z,47,-0.988339185
1,SITTING,Freq,Body,Accelerometer,Jerk,Magnitude,Mean,NA,47,-0.985262127
1,SITTING,Freq,Body,Accelerometer,Jerk,Magnitude,StD,NA,47,-0.981606177
1,STANDING,Time,NA,Gyroscope,NA,NA,Mean,X,53,-0.023987735
1,STANDING,Time,NA,Gyroscope,NA,NA,Mean,Y,53,-0.059397221
1,STANDING,Time,NA,Gyroscope,NA,NA,Mean,Z,53,0.074800751
1,STANDING,Time,NA,Gyroscope,NA,NA,StD,X,53,-0.987191947
1,STANDING,Time,NA,Gyroscope,NA,NA,StD,Y,53,-0.98773444
1,STANDING,Time,NA,Gyroscope,NA,NA,StD,Z,53,-0.980645627
1,STANDING,Time,NA,Gyroscope,NA,Magnitude,Mean,NA,53,-0.976493793
1,STANDING,Time,NA,Gyroscope,NA,Magnitude,StD,NA,53,-0.978690029
1,STANDING,Time,NA,Gyroscope,Jerk,NA,Mean,X,53,-0.099609213
1,STANDING,Time,NA,Gyroscope,Jerk,NA,Mean,Y,53,-0.044062788
1,STANDING,Time,NA,Gyroscope,Jerk,NA,Mean,Z,53,-0.048950547
1,STANDING,Time,NA,Gyroscope,Jerk,NA,StD,X,53,-0.992945107
1,STANDING,Time,NA,Gyroscope,Jerk,NA,StD,Y,53,-0.995137917
1,STANDING,Time,NA,Gyroscope,Jerk,NA,StD,Z,53,-0.992108467
1,STANDING,Time,NA,Gyroscope,Jerk,Magnitude,Mean,NA,53,-0.994966791
1,STANDING,Time,NA,Gyroscope,Jerk,Magnitude,StD,NA,53,-0.994733239
1,STANDING,Time,Body,Accelerometer,NA,NA,Mean,X,53,0.278917629
1,STANDING,Time,Body,Accelerometer,NA,NA,Mean,Y,53,-0.01613759
1,STANDING,Time,Body,Accelerometer,NA,NA,Mean,Z,53,-0.110601818
1,STANDING,Time,Body,Accelerometer,NA,NA,StD,X,53,-0.995759902
1,STANDING,Time,Body,Accelerometer,NA,NA,StD,Y,53,-0.973190056
1,STANDING,Time,Body,Accelerometer,NA,NA,StD,Z,53,-0.979775877
1,STANDING,Time,Body,Accelerometer,NA,Magnitude,Mean,NA,53,-0.984278207
1,STANDING,Time,Body,Accelerometer,NA,Magnitude,StD,NA,53,-0.981942929
1,STANDING,Time,Body,Accelerometer,Jerk,NA,Mean,X,53,0.075376654
1,STANDING,Time,Body,Accelerometer,Jerk,NA,Mean,Y,53,0.007975731
1,STANDING,Time,Body,Accelerometer,Jerk,NA,Mean,Z,53,-0.00368525
1,STANDING,Time,Body,Accelerometer,Jerk,NA,StD,X,53,-0.994604542
1,STANDING,Time,Body,Accelerometer,Jerk,NA,StD,Y,53,-0.985648732
1,STANDING,Time,Body,Accelerometer,Jerk,NA,StD,Z,53,-0.992251177
1,STANDING,Time,Body,Accelerometer,Jerk,Magnitude,Mean,NA,53,-0.992367791
1,STANDING,Time,Body,Accelerometer,Jerk,Magnitude,StD,NA,53,-0.993096209
1,STANDING,Time,Gravity,Accelerometer,NA,NA,Mean,X,53,0.942952
1,STANDING,Time,Gravity,Accelerometer,NA,NA,Mean,Y,53,-0.272983832
1,STANDING,Time,Gravity,Accelerometer,NA,NA,Mean,Z,53,0.013490582
1,STANDING,Time,Gravity,Accelerometer,NA,NA,StD,X,53,-0.993762985
1,STANDING,Time,Gravity,Accelerometer,NA,NA,StD,Y,53,-0.981225958
1,STANDING,Time,Gravity,Accelerometer,NA,NA,StD,Z,53,-0.976324064
1,STANDING,Time,Gravity,Accelerometer,NA,Magnitude,Mean,NA,53,-0.984278207
1,STANDING,Time,Gravity,Accelerometer,NA,Magnitude,StD,NA,53,-0.981942929
1,STANDING,Freq,NA,Gyroscope,NA,NA,Mean,X,53,-0.986386786
1,STANDING,Freq,NA,Gyroscope,NA,NA,Mean,Y,53,-0.988984456
1,STANDING,Freq,NA,Gyroscope,NA,NA,Mean,Z,53,-0.980773123
1,STANDING,Freq,NA,Gyroscope,NA,NA,StD,X,53,-0.987497129
1,STANDING,Freq,NA,Gyroscope,NA,NA,StD,Y,53,-0.987107728
1,STANDING,Freq,NA,Gyroscope,NA,NA,StD,Z,53,-0.98234533
1,STANDING,Freq,NA,Gyroscope,NA,Magnitude,Mean,NA,53,-0.984617623
1,STANDING,Freq,NA,Gyroscope,NA,Magnitude,StD,NA,53,-0.978466072
1,STANDING,Freq,NA,Gyroscope,Jerk,Magnitude,Mean,NA,53,-0.994815377
1,STANDING,Freq,NA,Gyroscope,Jerk,Magnitude,StD,NA,53,-0.994671123
1,STANDING,Freq,Body,Accelerometer,NA,NA,Mean,X,53,-0.995249933
1,STANDING,Freq,Body,Accelerometer,NA,NA,Mean,Y,53,-0.977070848
1,STANDING,Freq,Body,Accelerometer,NA,NA,Mean,Z,53,-0.985297099
1,STANDING,Freq,Body,Accelerometer,NA,NA,StD,X,53,-0.996028345
1,STANDING,Freq,Body,Accelerometer,NA,NA,StD,Y,53,-0.972293102
1,STANDING,Freq,Body,Accelerometer,NA,NA,StD,Z,53,-0.97793726
1,STANDING,Freq,Body,Accelerometer,NA,Magnitude,Mean,NA,53,-0.985356361
1,STANDING,Freq,Body,Accelerometer,NA,Magnitude,StD,NA,53,-0.982313805
1,STANDING,Freq,Body,Accelerometer,Jerk,NA,Mean,X,53,-0.994630797
1,STANDING,Freq,Body,Accelerometer,Jerk,NA,Mean,Y,53,-0.985418705
1,STANDING,Freq,Body,Accelerometer,Jerk,NA,Mean,Z,53,-0.990752166
1,STANDING,Freq,Body,Accelerometer,Jerk,NA,StD,X,53,-0.995073759
1,STANDING,Freq,Body,Accelerometer,Jerk,NA,StD,Y,53,-0.987018227
1,STANDING,Freq,Body,Accelerometer,Jerk,NA,StD,Z,53,-0.992349818
1,STANDING,Freq,Body,Accelerometer,Jerk,Magnitude,Mean,NA,53,-0.992542478
1,STANDING,Freq,Body,Accelerometer,Jerk,Magnitude,StD,NA,53,-0.992536003
1,WALKING,Time,NA,Gyroscope,NA,NA,Mean,X,95,-0.041830964
1,WALKING,Time,NA,Gyroscope,NA,NA,Mean,Y,95,-0.069530046
1,WALKING,Time,NA,Gyroscope,NA,NA,Mean,Z,95,0.084944817
1,WALKING,Time,NA,Gyroscope,NA,NA,StD,X,95,-0.473535486
1,WALKING,Time,NA,Gyroscope,NA,NA,StD,Y,95,-0.054607769
1,WALKING,Time,NA,Gyroscope,NA,NA,StD,Z,95,-0.344266629
1,WALKING,Time,NA,Gyroscope,NA,Magnitude,Mean,NA,95,-0.160979553
1,WALKING,Time,NA,Gyroscope,NA,Magnitude,StD,NA,95,-0.186978365
1,WALKING,Time,NA,Gyroscope,Jerk,NA,Mean,X,95,-0.089997542
1,WALKING,Time,NA,Gyroscope,Jerk,NA,Mean,Y,95,-0.039842871
1,WALKING,Time,NA,Gyroscope,Jerk,NA,Mean,Z,95,-0.04613093
1,WALKING,Time,NA,Gyroscope,Jerk,NA,StD,X,95,-0.207421855
1,WALKING,Time,NA,Gyroscope,Jerk,NA,StD,Y,95,-0.304468511
1,WALKING,Time,NA,Gyroscope,Jerk,NA,StD,Z,95,-0.404255453
1,WALKING,Time,NA,Gyroscope,Jerk,Magnitude,Mean,NA,95,-0.298703679
1,WALKING,Time,NA,Gyroscope,Jerk,Magnitude,StD,NA,95,-0.325324879
1,WALKING,Time,Body,Accelerometer,NA,NA,Mean,X,95,0.277330759
1,WALKING,Time,Body,Accelerometer,NA,NA,Mean,Y,95,-0.017383819
1,WALKING,Time,Body,Accelerometer,NA,NA,Mean,Z,95,-0.111148104
1,WALKING,Time,Body,Accelerometer,NA,NA,StD,X,95,-0.283740259
1,WALKING,Time,Body,Accelerometer,NA,NA,StD,Y,95,0.114461337
1,WALKING,Time,Body,Accelerometer,NA,NA,StD,Z,95,-0.260027902
1,WALKING,Time,Body,Accelerometer,NA,Magnitude,Mean,NA,95,-0.136971177
1,WALKING,Time,Body,Accelerometer,NA,Magnitude,StD,NA,95,-0.219688646
1,WALKING,Time,Body,Accelerometer,Jerk,NA,Mean,X,95,0.074041633
1,WALKING,Time,Body,Accelerometer,Jerk,NA,Mean,Y,95,0.02827211
1,WALKING,Time,Body,Accelerometer,Jerk,NA,Mean,Z,95,-0.004168406
1,WALKING,Time,Body,Accelerometer,Jerk,NA,StD,X,95,-0.113615602
1,WALKING,Time,Body,Accelerometer,Jerk,NA,StD,Y,95,0.067002501
1,WALKING,Time,Body,Accelerometer,Jerk,NA,StD,Z,95,-0.502699789
1,WALKING,Time,Body,Accelerometer,Jerk,Magnitude,Mean,NA,95,-0.141428809
1,WALKING,Time,Body,Accelerometer,Jerk,Magnitude,StD,NA,95,-0.07447175
1,WALKING,Time,Gravity,Accelerometer,NA,NA,Mean,X,95,0.935223201
1,WALKING,Time,Gravity,Accelerometer,NA,NA,Mean,Y,95,-0.282165021
1,WALKING,Time,Gravity,Accelerometer,NA,NA,Mean,Z,95,-0.068102864
1,WALKING,Time,Gravity,Accelerometer,NA,NA,StD,X,95,-0.976609643
1,WALKING,Time,Gravity,Accelerometer,NA,NA,StD,Y,95,-0.971305961
1,WALKING,Time,Gravity,Accelerometer,NA,NA,StD,Z,95,-0.947717226
1,WALKING,Time,Gravity,Accelerometer,NA,Magnitude,Mean,NA,95,-0.136971177
1,WALKING,Time,Gravity,Accelerometer,NA,Magnitude,StD,NA,95,-0.219688646
1,WALKING,Freq,NA,Gyroscope,NA,NA,Mean,X,95,-0.339032197
1,WALKING,Freq,NA,Gyroscope,NA,NA,Mean,Y,95,-0.103059416
1,WALKING,Freq,NA,Gyroscope,NA,NA,Mean,Z,95,-0.25594094
1,WALKING,Freq,NA,Gyroscope,NA,NA,StD,X,95,-0.516691939
1,WALKING,Freq,NA,Gyroscope,NA,NA,StD,Y,95,-0.03350816
1,WALKING,Freq,NA,Gyroscope,NA,NA,StD,Z,95,-0.436562227
1,WALKING,Freq,NA,Gyroscope,NA,Magnitude,Mean,NA,95,-0.199252569
1,WALKING,Freq,NA,Gyroscope,NA,Magnitude,StD,NA,95,-0.321017954
1,WALKING,Freq,NA,Gyroscope,Jerk,Magnitude,Mean,NA,95,-0.319308594
1,WALKING,Freq,NA,Gyroscope,Jerk,Magnitude,StD,NA,95,-0.381601912
1,WALKING,Freq,Body,Accelerometer,NA,NA,Mean,X,95,-0.202794306
1,WALKING,Freq,Body,Accelerometer,NA,NA,Mean,Y,95,0.089712726
1,WALKING,Freq,Body,Accelerometer,NA,NA,Mean,Z,95,-0.331560118
1,WALKING,Freq,Body,Accelerometer,NA,NA,StD,X,95,-0.31913472
1,WALKING,Freq,Body,Accelerometer,NA,NA,StD,Y,95,0.056040007
1,WALKING,Freq,Body,Accelerometer,NA,NA,StD,Z,95,-0.279686751
1,WALKING,Freq,Body,Accelerometer,NA,Magnitude,Mean,NA,95,-0.128623451
1,WALKING,Freq,Body,Accelerometer,NA,Magnitude,StD,NA,95,-0.398032587
1,WALKING,Freq,Body,Accelerometer,Jerk,NA,Mean,X,95,-0.170546965
1,WALKING,Freq,Body,Accelerometer,Jerk,NA,Mean,Y,95,-0.035225524
1,WALKING,Freq,Body,Accelerometer,Jerk,NA,Mean,Z,95,-0.468999225
1,WALKING,Freq,Body,Accelerometer,Jerk,NA,StD,X,95,-0.133586606
1,WALKING,Freq,Body,Accelerometer,Jerk,NA,StD,Y,95,0.106739857
1,WALKING,Freq,Body,Accelerometer,Jerk,NA,StD,Z,95,-0.53471344
1,WALKING,Freq,Body,Accelerometer,Jerk,Magnitude,Mean,NA,95,-0.0571194
1,WALKING,Freq,Body,Accelerometer,Jerk,Magnitude,StD,NA,95,-0.103492403
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,NA,NA,Mean,X,49,-0.03507819
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,NA,NA,Mean,Y,49,-0.090937129
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,NA,NA,Mean,Z,49,0.090085014
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,NA,NA,StD,X,49,-0.458030543
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,NA,NA,StD,Y,49,-0.126349195
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,NA,NA,StD,Z,49,-0.124702454
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,NA,Magnitude,Mean,NA,49,-0.075741254
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,NA,Magnitude,StD,NA,49,-0.225724368
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,Jerk,NA,Mean,X,49,-0.073959204
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,Jerk,NA,Mean,Y,49,-0.043990278
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,Jerk,NA,Mean,Z,49,-0.027046106
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,Jerk,NA,StD,X,49,-0.487027342
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,Jerk,NA,StD,Y,49,-0.238824828
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,Jerk,NA,StD,Z,49,-0.26876148
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,Jerk,Magnitude,Mean,NA,49,-0.295463843
1,WALKING_DOWNSTAIRS,Time,NA,Gyroscope,Jerk,Magnitude,StD,NA,49,-0.306510646
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,NA,NA,Mean,X,49,0.28918832
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,NA,NA,Mean,Y,49,-0.009918505
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,NA,NA,Mean,Z,49,-0.107566191
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,NA,NA,StD,X,49,0.030035338
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,NA,NA,StD,Y,49,-0.031935943
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,NA,NA,StD,Z,49,-0.230434213
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,NA,Magnitude,Mean,NA,49,0.027188291
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,NA,Magnitude,StD,NA,49,0.019884351
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,Jerk,NA,Mean,X,49,0.054155316
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,Jerk,NA,Mean,Y,49,0.029650449
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,Jerk,NA,Mean,Z,49,-0.010971973
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,Jerk,NA,StD,X,49,-0.012283861
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,Jerk,NA,StD,Y,49,-0.101601391
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,Jerk,NA,StD,Z,49,-0.345735032
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,Jerk,Magnitude,Mean,NA,49,-0.089447481
1,WALKING_DOWNSTAIRS,Time,Body,Accelerometer,Jerk,Magnitude,StD,NA,49,-0.02578772
1,WALKING_DOWNSTAIRS,Time,Gravity,Accelerometer,NA,NA,Mean,X,49,0.931874419
1,WALKING_DOWNSTAIRS,Time,Gravity,Accelerometer,NA,NA,Mean,Y,49,-0.266610339
1,WALKING_DOWNSTAIRS,Time,Gravity,Accelerometer,NA,NA,Mean,Z,49,-0.062119959
1,WALKING_DOWNSTAIRS,Time,Gravity,Accelerometer,NA,NA,StD,X,49,-0.950559812
1,WALKING_DOWNSTAIRS,Time,Gravity,Accelerometer,NA,NA,StD,Y,49,-0.937018659
1,WALKING_DOWNSTAIRS,Time,Gravity,Accelerometer,NA,NA,StD,Z,49,-0.895939695
1,WALKING_DOWNSTAIRS,Time,Gravity,Accelerometer,NA,Magnitude,Mean,NA,49,0.027188291
1,WALKING_DOWNSTAIRS,Time,Gravity,Accelerometer,NA,Magnitude,StD,NA,49,0.019884351
1,WALKING_DOWNSTAIRS,Freq,NA,Gyroscope,NA,NA,Mean,X,49,-0.352449631
1,WALKING_DOWNSTAIRS,Freq,NA,Gyroscope,NA,NA,Mean,Y,49,-0.055702252
1,WALKING_DOWNSTAIRS,Freq,NA,Gyroscope,NA,NA,Mean,Z,49,-0.031869427
1,WALKING_DOWNSTAIRS,Freq,NA,Gyroscope,NA,NA,StD,X,49,-0.495422486
1,WALKING_DOWNSTAIRS,Freq,NA,Gyroscope,NA,NA,StD,Y,49,-0.181414729
